byr,race,interval,vmn1,vsd1,vnu1,vnms1,vfin1,year,ctr1,type,ltax,xltax,eligible,earn_nz,sd_nz
50,white,46,9909.25,6336.3,209,1.5,0.115,78,15,TAXAB,0.163,0.115,False,11196.8926554,5563.1073611
50,white,47,9777.3,7482.31,216,6.0,0.171,78,15,TAXAB,0.194,0.139,False,11794.0892642,6614.14659492
50,white,48,9392.74,6950.09,215,1.5,0.172,78,15,TAXAB,0.195,0.153,False,11343.8888889,6016.99653774
50,white,49,9910.55,7209.88,212,4.0,0.179,78,15,TAXAB,0.231,0.17,False,12071.3154689,6101.85525153
50,white,50,9323.97,7496.93,238,8.0,0.185,78,15,TAXAB,0.164,0.109,False,11440.4539877,6689.42267519
50,white,51,9012.12,6721.71,204,3.0,0.176,78,15,TAXAB,0.162,0.123,False,10937.038835,5811.95889989
50,white,52,8891.96,6628.29,213,1.5,0.197,78,15,TAXAB,0.174,0.141,False,11073.4246575,5527.77790597
50,white,53,9668.84,6803.44,214,8.0,0.154,78,15,TAXAB,0.178,0.126,False,11428.8888889,5881.93177756
50,white,54,10014.66,6760.2,214,5.0,0.14,78,15,TAXAB,0.154,0.107,False,11644.9534884,5844.24473941
50,white,55,8851.72,6601.54,182,3.0,0.198,78,15,TAXAB,0.132,0.082,False,11037.0573566,5497.26025452
50,white,56,8951.04,7085.2,196,3.0,0.199,78,15,TAXAB,0.184,0.158,False,11174.8314607,6149.89750773
50,white,57,8530.33,6503.71,201,5.0,0.209,78,15,TAXAB,0.114,0.095,False,10784.2351454,5400.7174086
50,white,58,9886.82,6596.4,235,5.0,0.132,78,15,TAXAB,0.187,0.136,False,11390.3456221,5744.90415035
50,white,59,9239.31,6703.95,218,6.0,0.179,78,15,TAXAB,0.174,0.138,False,11253.727162,5663.21559981
50,white,60,9457.38,6709.55,204,1.5,0.152,78,15,TAXAB,0.157,0.118,False,11152.5707547,5846.50335577
50,white,61,8958.18,6667.34,235,4.0,0.179,78,15,TAXAB,0.157,0.128,False,10911.3032887,5730.12560562
50,white,62,9584.32,6790.24,211,1.5,0.161,78,15,TAXAB,0.194,0.137,False,11423.5041716,5826.251636
50,white,63,8598.35,6957.04,219,4.0,0.196,78,15,TAXAB,0.146,0.114,False,10694.4651741,6146.76164125
50,white,64,9205.06,6873.89,219,4.0,0.219,78,15,TAXAB,0.155,0.123,False,11786.2483995,5484.27733425
50,white,65,9113.17,7146.51,205,4.0,0.215,78,15,TAXAB,0.185,0.127,False,11609.133758,6007.05139152
50,white,66,7835.7,6987.92,225,5.0,0.258,78,15,TAXAB,0.138,0.098,False,10560.2425876,6085.89987773
50,white,67,9188.67,6799.25,220,4.0,0.177,78,15,TAXAB,0.159,0.123,False,11164.8481166,5840.25415851
50,white,68,8849.53,7107.69,205,1.5,0.234,78,15,TAXAB,0.18,0.151,False,11552.9112272,5892.3772354
50,white,69,8957.82,7050.58,200,1.5,0.19,78,15,TAXAB,0.16,0.135,False,11059.037037,6175.25471436
50,white,70,9237.28,6752.48,229,4.0,0.188,78,15,TAXAB,0.188,0.148,False,11375.9605911,5641.20077481
50,white,71,9299.26,6461.68,222,1.5,0.167,78,15,TAXAB,0.135,0.117,False,11163.577431,5414.01585869
50,white,72,9045.89,6713.56,243,1.5,0.156,78,15,TAXAB,0.156,0.123,False,10717.8791469,5956.72167715
50,white,73,9482.97,6938.1,238,5.0,0.189,78,15,TAXAB,0.21,0.172,False,11692.9346486,5789.16492367
50,white,1,10372.21,7821.47,189,3.0,0.169,79,17,TAXAB,0.09,0.085,True,12481.6004813,6876.6291728
50,white,2,10953.56,7752.03,235,1.5,0.145,79,17,TAXAB,0.085,0.072,True,12811.1812865,6818.13911103
50,white,3,11509.31,7963.83,225,4.0,0.151,79,17,TAXAB,0.111,0.093,True,13556.3133098,6852.21694333
50,white,4,9947.99,8054.24,244,1.5,0.213,79,17,TAXAB,0.09,0.07,True,12640.3939009,6956.64326446
50,white,5,10119.94,7731.14,210,4.0,0.186,79,17,TAXAB,0.067,0.057,True,12432.3587224,6684.26100459
50,white,6,10975.07,8353.56,203,5.0,0.172,79,17,TAXAB,0.084,0.064,True,13254.9154589,7352.45376017
50,white,7,12064.68,8185.43,177,1.5,0.136,79,17,TAXAB,0.124,0.09,True,13963.75,7143.50200367
50,white,8,10623.38,7955.46,213,7.0,0.169,79,17,TAXAB,0.094,0.07,True,12783.8507822,6967.16052408
50,white,9,10441.08,8249.39,222,5.0,0.203,79,17,TAXAB,0.117,0.086,True,13100.476788,7109.59737625
50,white,10,10981.98,7964.63,236,7.0,0.182,79,17,TAXAB,0.085,0.068,True,13425.403423,6689.1972059
50,white,11,10041.07,8083.87,230,4.0,0.239,79,17,TAXAB,0.096,0.087,True,13194.5729304,6653.07083396
50,white,12,10610.28,8391.15,207,4.0,0.208,79,17,TAXAB,0.135,0.116,True,13396.8181818,7181.40204499
50,white,13,10433.67,8138.16,238,4.0,0.197,79,17,TAXAB,0.08,0.046,True,12993.362391,7015.60815279
50,white,14,11184.45,8269.36,209,4.0,0.163,79,17,TAXAB,0.12,0.086,True,13362.5448029,7252.20045638
50,white,15,11649.04,8204.13,209,1.5,0.172,79,17,TAXAB,0.148,0.11,True,14068.8888889,6873.49742529
50,white,16,9268.3,7910.92,205,5.0,0.22,79,17,TAXAB,0.083,0.063,True,11882.4358974,7012.26576538
50,white,17,10500.98,8156.53,205,5.0,0.176,79,17,TAXAB,0.098,0.083,True,12743.907767,7221.86892701
50,white,18,10086.9,7857.46,213,7.0,0.192,79,17,TAXAB,0.094,0.066,True,12483.7871287,6818.23022907
50,white,19,10883.57,8307.44,216,8.0,0.194,79,17,TAXAB,0.13,0.102,True,13503.1885856,7088.83345002
50,white,20,10032.11,7782.64,224,1.5,0.188,79,17,TAXAB,0.063,0.036,True,12354.8152709,6774.68580279
50,white,21,11182.45,7991.23,225,4.0,0.16,79,17,TAXAB,0.142,0.116,True,13312.4404762,6904.21238848
50,white,22,10912.39,8372.87,244,1.5,0.197,79,17,TAXAB,0.107,0.066,True,13589.5267746,7136.01982309
50,white,23,9837.82,7883.18,260,4.0,0.227,79,17,TAXAB,0.069,0.042,True,12726.8046572,6605.0292368
