byr	race	year	type	interval	nj	nj0	p_xl	p_l	earnings	iweight	iweight_old	nsrvd	ps_r	ern74	ern75	ern76	ern77	ern78	ern79	ern80	ern81	ern82	ern83	ern84
50	1	76	TAXAB	1	8606	1603.02	0.080075	0.0304051	9706.49	0.000233096	0.000147144	NA	0.3527	0.650036	0.758412	1	0.789492	0.589995	0.610548	0.564372	0.607657	0.424308	0.452462	0.433545
50	1	77	TAXAB	2	7359	1324.57	0.123294	0.0357335	10718.4	0.00018973	0.000114977	NA	0.1933	0.515821	0.656202	0.789492	1	0.701324	0.641089	0.601699	0.63522	0.489981	0.507739	0.481872
50	1	78	TAXAB	2	7348	1348.9	0.159302	0.0491243	11255.4	0.000174434	0.000104065	NA	0.1933	0.428415	0.592561	0.589995	0.701324	1	0.798584	0.635555	0.662254	0.433826	0.480543	0.440161
50	1	79	TAXAB	2	7339	1367.98	0.0997959	0.0314791	12000.5	0.000145294	8.78866e-05	NA	0.1933	0.401066	0.544104	0.610548	0.641089	0.798584	1	0.794692	0.693166	0.506555	0.500346	0.502128
50	1	80	TAXAB	1	8551	1634.8	0.096046	0.0240914	11465.7	0.000171178	0.000105532	NA	0.3527	0.323062	0.517838	0.564372	0.601699	0.635555	0.794692	1	0.779243	0.783172	0.700711	0.650055
50	1	81	TAXAB	1	8542	1702.51	0.089105	0.0232547	11664.2	0.000156373	9.65279e-05	NA	0.3527	0.427432	0.563186	0.607657	0.63522	0.662254	0.693166	0.779243	1	0.672858	0.606114	0.672612
50	1	82	TAXAB	1	8537	1896.09	0.093773	0.0204097	11812.5	0.000141358	8.51718e-05	NA	0.3527	0.293612	0.371736	0.424308	0.489981	0.433826	0.506555	0.783172	0.672858	1	0.791849	0.701004
50	1	83	TAXAB	2	7310	1666.07	0.0972158	0.0200601	12519	0.000103128	6.23998e-05	NA	0.1933	0.37993	0.419932	0.452462	0.507739	0.480543	0.500346	0.700711	0.606114	0.791849	1	0.752165
50	1	84	TAXAB	1	8508	2049.26	0.0957806	0.022723	12737.9	0.000115011	6.78166e-05	NA	0.3527	0.420998	0.454491	0.433545	0.481872	0.440161	0.502128	0.650055	0.672612	0.701004	0.752165	1
50	2	74	TAXAB	1	2859	940.917	0.0301676	0.0125479	7431.77	7.81153e-05	4.48869e-05	NA	0.1957	1	0.657727	0.603769	0.486817	0.402789	0.444585	0.394048	0.247825	0.256259	0.268377	0.402271
50	2	75	TAXAB	2	2549	895.78	0.0374457	0.0126595	7764.56	6.55233e-05	3.56161e-05	NA	0.1354	0.657727	1	0.664842	0.515829	0.490072	0.462316	0.366434	0.253041	0.323845	0.250228	0.410744
50	2	76	TAXAB	1	2848	985.784	0.0586076	0.0176746	8285.37	6.24699e-05	3.47618e-05	NA	0.1957	0.603769	0.664842	1	0.598947	0.556539	0.478782	0.365286	0.275781	0.336653	0.241274	0.301208
50	2	77	TAXAB	1	2846	953.115	0.0813531	0.0249128	9006.81	5.96534e-05	3.21378e-05	NA	0.1957	0.486817	0.515829	0.598947	1	0.697564	0.571545	0.420135	0.434909	0.428304	0.425914	0.437593
50	2	78	TAXAB	2	2534	849.026	0.0996318	0.0256698	9487.21	4.7346e-05	2.56287e-05	NA	0.1354	0.402789	0.490072	0.556539	0.697564	1	0.747016	0.575966	0.524463	0.499817	0.424702	0.509877
50	2	79	TAXAB	2	2521	824.724	0.0637449	0.0152027	9900.31	4.20427e-05	2.34255e-05	NA	0.1354	0.444585	0.462316	0.478782	0.571545	0.747016	1	0.785105	0.675672	0.590668	0.475479	0.556529
50	2	80	TAXAB	1	2826	933.358	0.0701839	0.0132032	9838.84	4.47791e-05	2.54943e-05	NA	0.1957	0.394048	0.366434	0.365286	0.420135	0.575966	0.785105	1	0.76398	0.560535	0.488104	0.533145
50	2	81	TAXAB	1	2822	974.065	0.0773317	0.0146255	10214.2	4.16595e-05	2.2993e-05	NA	0.1957	0.247825	0.253041	0.275781	0.434909	0.524463	0.675672	0.76398	1	0.727346	0.559744	0.583622
50	2	82	TAXAB	1	2820	1002.07	0.0726558	0.0169935	10224.2	3.92026e-05	2.17669e-05	NA	0.1957	0.256259	0.323845	0.336653	0.428304	0.499817	0.590668	0.560535	0.727346	1	0.695038	0.667924
50	2	83	TAXAB	1	2815	1004.84	0.0751934	0.0121382	10665.1	3.29395e-05	1.89434e-05	NA	0.1957	0.268377	0.250228	0.241274	0.425914	0.424702	0.475479	0.488104	0.559744	0.695038	1	0.748334
50	2	84	TAXAB	1	2810	1002.03	0.0797855	0.012571	10965.6	3.12969e-05	1.79636e-05	NA	0.1957	0.402271	0.410744	0.301208	0.437593	0.509877	0.556529	0.533145	0.583622	0.667924	0.748334	1
50	1	78	TOTAL	2	7348	2030.01	0.000932871	0.227415	17273.3	4.7417e-07	4.7071e-07	NA	0.1933	NA	NA	NA	NA	1	0.177398	0.228283	-0.016238	-0.0369988	-0.00140473	-0.0415292
50	1	79	TOTAL	2	7339	2162.7	0	0.136064	16052.3	7.738e-07	7.65115e-07	NA	0.1933	NA	NA	NA	NA	0.177398	1	0.348202	0.137494	0.165078	0.152294	0.145783
50	1	80	TOTAL	1	8551	2539.39	0.00014971	0.125924	12214.9	1.59702e-05	1.42883e-05	NA	0.3527	NA	NA	NA	NA	0.228283	0.348202	1	0.273969	0.240868	0.179453	0.158517
50	1	81	TOTAL	2	7327	2167.7	0.000404125	0.121342	12778.5	6.08622e-05	3.87686e-05	NA	0.1933	NA	NA	NA	NA	-0.016238	0.137494	0.273969	1	0.600624	0.483218	0.553319
50	1	82	TOTAL	2	7318	2211.78	0.000801964	0.117413	13138	5.10383e-05	3.35459e-05	NA	0.1933	NA	NA	NA	NA	-0.0369988	0.165078	0.240868	0.600624	1	0.710092	0.60158
50	1	83	TOTAL	2	7310	2187.12	0.000205939	0.11476	13977.5	2.47931e-05	1.93259e-05	NA	0.1933	NA	NA	NA	NA	-0.00140473	0.152294	0.179453	0.483218	0.710092	1	0.807664
50	1	84	TOTAL	1	8508	2587.35	0.000156064	0.118506	14246.7	4.29933e-05	2.96872e-05	NA	0.3527	NA	NA	NA	NA	-0.0415292	0.145783	0.158517	0.553319	0.60158	0.807664	1
50	2	78	TOTAL	2	2534	999.059	0	0.153721	15631.9	3.08182e-07	3.02334e-07	NA	0.1354	NA	NA	NA	NA	1	0.436915	0.00752642	0.212294	0.280129	0.138463	0.147779
50	2	79	TOTAL	1	2834	1120.83	0	0.0964316	16050.3	2.53682e-07	2.49912e-07	NA	0.1957	NA	NA	NA	NA	0.436915	1	0.341862	0.246419	0.15349	0.147063	0.00152915
50	2	80	TOTAL	1	2826	1129.24	0	0.0842967	10623.3	5.96064e-06	5.14549e-06	NA	0.1957	NA	NA	NA	NA	0.00752642	0.341862	1	0.414081	0.219093	0.0708767	0.0988192
50	2	81	TOTAL	2	2511	979.85	0	0.0829364	10216.5	2.33427e-05	1.44007e-05	NA	0.1354	NA	NA	NA	NA	0.212294	0.246419	0.414081	1	0.735231	0.46538	0.341637
50	2	82	TOTAL	2	2507	1027.99	0	0.0776965	10906.7	1.8148e-05	1.1353e-05	NA	0.1354	NA	NA	NA	NA	0.280129	0.15349	0.219093	0.735231	1	0.60142	0.51543
50	2	83	TOTAL	1	2815	1129.07	0	0.0842912	11750	1.17519e-05	8.47903e-06	NA	0.1957	NA	NA	NA	NA	0.138463	0.147063	0.0708767	0.46538	0.60142	1	0.794032
50	2	84	TOTAL	1	2810	1096.91	0	0.087096	12091.7	1.00878e-05	7.55024e-06	NA	0.1957	NA	NA	NA	NA	0.147779	0.00152915	0.0988192	0.341637	0.51543	0.794032	1
50	1	74	ADJ	2	7390	1228.63	0.0484894	0.0203018	9227.35	0.000199272	0.000138408	NA	0.1933	1	0.771358	0.694835	0.568015	0.476504	0.407121	0.342708	0.472947	0.354887	0.387296	0.408793
50	1	75	ADJ	2	7381	1379.35	0.0712274	0.0239439	9484.24	0.000154508	0.000109997	NA	0.1933	0.771358	1	0.803318	0.711351	0.643066	0.53959	0.533922	0.577639	0.4067	0.398485	0.408106
50	1	76	ADJ	2	7369	1372.09	0.0951054	0.0301265	10529.1	0.000135759	9.51267e-05	NA	0.1933	0.694835	0.803318	1	0.819181	0.649811	0.610188	0.575669	0.617159	0.43717	0.44456	0.423393
50	1	77	ADJ	2	7359	1324.57	0.123294	0.0357335	11256.8	0.00012929	8.95954e-05	NA	0.1933	0.568015	0.711351	0.819181	1	0.730788	0.661649	0.644522	0.689318	0.552163	0.566851	0.488475
50	1	78	ADJ	2	7348	1348.9	0.159302	0.0491243	12025.4	0.000107415	7.58371e-05	NA	0.1933	0.476504	0.643066	0.649811	0.730788	1	0.81086	0.690245	0.704682	0.489165	0.503557	0.429488
50	1	79	ADJ	2	7339	1367.98	0.0997959	0.0314791	12529.2	0.000103993	7.08632e-05	NA	0.1933	0.407121	0.53959	0.610188	0.661649	0.81086	1	0.81615	0.735102	0.557315	0.533789	0.485616
50	1	80	ADJ	1	8551	1634.8	0.096046	0.0240914	11940.7	0.000123354	8.5174e-05	NA	0.3527	0.342708	0.533922	0.575669	0.644522	0.690245	0.81615	1	0.811483	0.789748	0.701517	0.62411
50	1	81	ADJ	1	8542	1702.51	0.089105	0.0232547	12118.2	0.000108412	7.58217e-05	NA	0.3527	0.472947	0.577639	0.617159	0.689318	0.704682	0.735102	0.811483	1	0.728645	0.634369	0.666854
