,byr,race,interval,vmn1,vsd1,vnu1,vnms1,vfin1,year,ctr1,type,ltax,xltax
59,44,1,60,11586.98,9056.2,170,0.0,0.176,78,15,TAXAB,0.312,0.212
60,44,1,61,11295.39,7791.1,207,7.0,0.203,78,15,TAXAB,0.357,0.28
61,44,1,62,10925.25,7243.12,199,3.0,0.171,78,15,TAXAB,0.342,0.281
62,44,1,63,10830.88,7765.52,224,6.0,0.21,78,15,TAXAB,0.304,0.237
63,44,1,64,11048.26,7522.29,172,1.5,0.192,78,15,TAXAB,0.331,0.256
64,44,1,65,10501.33,7509.43,193,4.0,0.223,78,15,TAXAB,0.332,0.285
65,44,1,66,11264.26,9416.67,199,5.0,0.176,78,15,TAXAB,0.312,0.246
66,44,1,67,10885.32,7258.42,194,4.0,0.18,78,15,TAXAB,0.309,0.247
67,44,1,68,11431.91,7161.8,177,4.0,0.181,78,15,TAXAB,0.35,0.294
68,44,1,69,9219.22,7616.72,177,6.0,0.26,78,15,TAXAB,0.254,0.209
69,44,1,70,10318.75,7462.85,179,6.0,0.223,78,15,TAXAB,0.318,0.268
70,44,1,71,11045.65,7555.28,200,1.5,0.175,78,15,TAXAB,0.355,0.25
71,44,1,72,10412.36,7429.51,194,3.0,0.18,78,15,TAXAB,0.294,0.237
72,44,1,73,10027.06,7582.62,221,6.0,0.231,78,15,TAXAB,0.258,0.208
73,44,1,1,12362.06,8707.63,178,4.0,0.191,79,17,TAXAB,0.191,0.146
74,44,1,2,13912.76,9159.48,182,5.0,0.148,79,17,TAXAB,0.253,0.198
75,44,1,3,13299.92,9419.51,208,1.5,0.216,79,17,TAXAB,0.207,0.159
76,44,1,4,12978.15,8831.08,206,1.5,0.194,79,17,TAXAB,0.194,0.17
77,44,1,5,14139.56,9070.31,207,0.0,0.145,79,17,TAXAB,0.256,0.208
78,44,1,6,13216.55,8446.57,177,5.0,0.141,79,17,TAXAB,0.186,0.141
79,44,1,7,13053.81,9490.82,192,1.5,0.172,79,17,TAXAB,0.234,0.182
80,44,1,8,12777.76,9578.66,143,5.0,0.238,79,17,TAXAB,0.21,0.175
81,44,1,9,13225.7,9349.12,198,4.0,0.187,79,17,TAXAB,0.192,0.131
82,44,1,10,12717.41,9327.98,222,7.0,0.198,79,17,TAXAB,0.198,0.144
83,44,1,11,12560.22,9147.02,175,5.0,0.206,79,17,TAXAB,0.211,0.183
84,44,1,12,12187.68,9135.14,161,7.0,0.217,79,17,TAXAB,0.18,0.137
85,44,1,13,13511.58,11949.32,185,8.0,0.205,79,17,TAXAB,0.222,0.178
86,44,1,14,13417.83,8800.24,185,5.0,0.135,79,17,TAXAB,0.232,0.178
87,44,1,15,12711.25,8788.08,162,4.0,0.204,79,17,TAXAB,0.198,0.167
88,44,1,16,12255.35,9016.3,136,5.0,0.213,79,17,TAXAB,0.199,0.154
89,44,1,17,13678.02,8870.27,191,4.0,0.178,79,17,TAXAB,0.225,0.168
90,44,1,18,13352.93,9660.31,192,3.0,0.172,79,17,TAXAB,0.229,0.203
91,44,1,19,11811.79,8666.88,197,1.5,0.203,79,17,TAXAB,0.178,0.157
92,44,1,20,12598.04,9265.41,179,0.0,0.184,79,17,TAXAB,0.24,0.207
93,44,1,21,12641.43,9230.6,216,5.0,0.222,79,17,TAXAB,0.255,0.199
94,44,1,22,12207.11,9167.85,203,1.5,0.227,79,17,TAXAB,0.202,0.167
95,44,1,23,12530.94,9334.85,191,4.0,0.22,79,17,TAXAB,0.22,0.173
96,44,1,24,12860.61,8955.43,178,7.0,0.169,79,17,TAXAB,0.219,0.18
97,44,1,25,13659.14,10265.82,161,1.5,0.193,79,17,TAXAB,0.248,0.174
98,44,1,26,12487.4,8652.17,183,6.0,0.158,79,17,TAXAB,0.191,0.153
99,44,1,27,12926.66,9206.96,148,5.0,0.223,79,17,TAXAB,0.223,0.189
100,44,1,28,13713.26,9035.07,184,7.0,0.158,79,17,TAXAB,0.245,0.212
101,44,1,29,12942.0,8779.99,197,7.0,0.188,79,17,TAXAB,0.239,0.203
102,44,1,30,12108.31,9156.62,169,5.0,0.207,79,17,TAXAB,0.231,0.195
103,44,1,31,12815.53,9225.72,187,1.5,0.198,79,17,TAXAB,0.214,0.166
104,44,1,32,14320.76,9119.73,207,4.0,0.145,79,17,TAXAB,0.271,0.193
105,44,1,33,13494.76,9185.01,162,1.5,0.154,79,17,TAXAB,0.259,0.198
106,44,1,34,12926.77,12947.98,216,0.0,0.218,79,17,TAXAB,0.208,0.162
107,44,1,35,13452.74,8629.87,190,3.0,0.153,79,17,TAXAB,0.216,0.174
108,44,1,36,12908.8,8592.15,171,4.0,0.158,79,17,TAXAB,0.199,0.164
109,44,1,37,12747.11,9376.87,169,3.0,0.189,79,17,TAXAB,0.207,0.142
110,44,1,38,13536.82,8526.0,168,5.0,0.167,79,17,TAXAB,0.244,0.22
111,44,1,39,12497.2,10056.41,163,3.0,0.221,79,17,TAXAB,0.209,0.147
112,44,1,40,13096.58,9040.45,171,4.0,0.216,79,17,TAXAB,0.228,0.193
113,44,1,41,14851.35,9377.09,191,3.0,0.12,79,17,TAXAB,0.241,0.178
114,44,1,42,13446.73,9253.71,186,6.0,0.167,79,17,TAXAB,0.253,0.22
115,44,1,43,13644.03,9430.03,180,1.5,0.156,79,17,TAXAB,0.289,0.261
116,44,1,44,12157.43,9492.74,171,3.0,0.211,79,17,TAXAB,0.14,0.117
117,44,1,45,13152.78,9231.99,209,7.0,0.177,79,17,TAXAB,0.239,0.206
118,44,1,46,12827.06,9675.85,188,3.0,0.223,79,17,TAXAB,0.266,0.213
119,44,1,47,11058.15,8938.63,175,1.5,0.24,79,17,TAXAB,0.183,0.131
120,44,1,48,12972.42,8736.67,192,3.0,0.177,79,17,TAXAB,0.172,0.151
121,44,1,49,13364.4,8791.76,162,4.0,0.173,79,17,TAXAB,0.216,0.16
122,44,1,50,12896.09,9095.41,172,4.0,0.215,79,17,TAXAB,0.215,0.163
123,44,1,51,12347.93,8761.94,165,9.0,0.188,79,17,TAXAB,0.164,0.133
124,44,1,52,12973.35,9444.48,172,5.0,0.169,79,17,TAXAB,0.203,0.163
125,44,1,53,13684.72,8901.61,164,4.0,0.134,79,17,TAXAB,0.256,0.177
126,44,1,54,13247.6,10287.68,181,4.0,0.188,79,17,TAXAB,0.238,0.204
127,44,1,55,12478.57,8958.84,190,7.0,0.168,79,17,TAXAB,0.221,0.179
128,44,1,56,13033.77,9831.81,185,1.5,0.205,79,17,TAXAB,0.232,0.189
129,44,1,57,12223.21,8839.6,163,6.0,0.221,79,17,TAXAB,0.135,0.11
130,44,1,58,13192.97,8825.98,174,5.0,0.19,79,17,TAXAB,0.201,0.172
131,44,1,59,13351.22,9025.64,189,3.0,0.175,79,17,TAXAB,0.212,0.18
132,44,1,60,12829.41,10493.6,170,0.0,0.206,79,17,TAXAB,0.218,0.171
133,44,1,61,12995.03,8947.85,207,7.0,0.208,79,17,TAXAB,0.208,0.159
134,44,1,62,13304.15,9306.88,199,3.0,0.171,79,17,TAXAB,0.231,0.181
135,44,1,63,11928.57,9109.43,224,6.0,0.179,79,17,TAXAB,0.201,0.147
136,44,1,64,13290.51,9127.54,172,1.5,0.198,79,17,TAXAB,0.203,0.157
137,44,1,65,12863.45,9633.66,193,4.0,0.228,79,17,TAXAB,0.264,0.187
138,44,1,66,13329.92,9167.16,199,5.0,0.201,79,17,TAXAB,0.216,0.171
139,44,1,67,13022.95,10085.24,194,4.0,0.186,79,17,TAXAB,0.201,0.16
140,44,1,68,13592.74,8942.95,176,5.0,0.182,79,17,TAXAB,0.182,0.148
141,44,1,69,11215.36,9405.54,177,6.0,0.243,79,17,TAXAB,0.181,0.164
142,44,1,70,12388.18,9103.42,178,7.0,0.225,79,17,TAXAB,0.236,0.208
143,44,1,71,13760.28,9530.9,199,3.0,0.181,79,17,TAXAB,0.296,0.226
144,44,1,72,12106.25,9026.66,194,3.0,0.186,79,17,TAXAB,0.191,0.165
145,44,1,73,11872.52,9187.23,221,6.0,0.217,79,17,TAXAB,0.149,0.127
